机	[名詞]	机、足つきの台
机種	[名詞]	セトデト、ステデラフ（人名）
机戦	[名詞]	机戦、セッカイク（ボードゲームの一種）
声机	[名詞]	〔雅語〕琴
席机	[名詞]	椅子
紙机戦	[名詞]	紙机戦、ニーンセッカイク（カードゲームの一種）
閉机戦	[名詞]	ボードゲームの一種
与学机戦	[名詞]	教育机戦（簡素化されたセッカイク）
力	[前置助動詞]	～できる
力	[名詞]	〔単独では稀〕力
入力	[動詞]	努力する
認力	[動詞＋目的語]	～の実力を認める
認力	我無認汝之力	私はあなたの実力を認めていない。
皇力	[名詞]	皇効（宗教的概念およびセッカイク用語）
水力	[名詞]	ヌワピユ、ヌヮピュ（人名）
硬力	[状態動詞]	強い
硬皇力	[名詞]	強い皇効（セッカイクのルール変種のひとつ）
錘	[状態動詞]	重い	
錘	[状態動詞]	重要だ	
錘	[名詞]	錘（おもり）
震錘	[名詞]	振り子
片錘	[名詞]	質量の単位（およそ 1.52 kg）
足錘	[名詞]	足かせ
足錘		ラネーメにおいては抑圧の象徴と考えられることもある。
足錘貧樽	[名詞]	人によって何画で書くか差があるような字のこと。
軽	[状態動詞]	軽い
軽赤	[名詞]	ピンク	
軽青	[名詞]	水色
#REDIRECT{"src":"吁","dest":"噫"}		
声	[名詞]	声、音	
声	[略号]	（伝統文法論における）間投詞および文末助詞
声多	[状態動詞]	うるさい、騒がしい	
声風	[名詞]	知らせ
声机	[名詞]	〔雅語〕琴
声行	[名詞]	声調
言声	[名詞]	発音
笛声	[名詞]	笛の音
軸声	[名詞]	音節の主母音
周声	[名詞]	子音、特に音節末子音
上声	[名詞]	頭子音、音節の最初の子音
直声	[名詞]	パイグ語の声調で、高く長く発音するもの
直声		この辞書では「→」で表記される。
歪声	[名詞]	パイグ語の声調で、低く長く発音するもの
歪声		この辞書では「⤴」で表記される。
無声	[名詞]	パイグ語の声調で、中間の高さで短めに発音するもの
無声		この辞書では「·」で表記される。
待声時	[名詞]	（パイグ語の文法用語）語境界や意味上の区切れを明示するために用いる発話中の無音区間
筆声字集	[名詞]	音写語、音訳語、字から語源を見てとりづらい語
上周声	[名詞]	頭子音、音節の最初の子音
下周声	[名詞]	音節末子音
静	[状態動詞]	静かだ
静	[前置助動詞]	ゆっくりと
静	[後置様態副詞]	ゆっくりと
静之	[前置助動詞]	音を立てずに、そっと
静水	[名詞]	ナナラ（行政区画名）
静水集	[名詞]	ナナラ郡（アイル共和国の郡名）
小静	[状態動詞]	ちまちましている
龍静	[名詞]	バニラ
鼓	[名詞]	太鼓、小鼓、ドラム
撃鼓	[名詞]	クッブーム詩（定型詩の一種）
煙鼓	[名詞]	通信
煙鼓無色	[四字熟語]	通信状況が悪い
琴笛鼓歌	[名詞]	弦楽器・管楽器・打楽器による伴奏がついた歌
歌	[動詞]	歌う、歌を歌う
歌	[名詞]	歌	
琴笛鼓歌	[名詞]	弦楽器・管楽器・打楽器による伴奏がついた歌
咍	[文末助詞]	なんとまあ、おや、あらあら
咍	[間投詞]	なんとまあ、おや、あらあら
咍		強い感情を表す。
#REDIRECT{"src":"箏","dest":"琴"}		
哇	[間投詞]	わあ、おお
哇		軽い驚きを表す。
哦	[間投詞]	おお、ああ
哦		感動を伴う驚きを表す。<span class="inline-linzklar">平</span>【平】の「オウ→」とは顕著に発音が異なるため注意。
啌	[間投詞]	ああ、うん、へえ、ほう
啌		軽い納得や同意を表す。
啌啌	[間投詞]	ふむふむ、はいはい、なるほど
笛	[名詞]	笛、管楽器
笛琴	[名詞]	音楽
笛声	[名詞]	笛の音
琴笛鼓歌	[名詞]	弦楽器・管楽器・打楽器による伴奏がついた歌
㕮		
㕮㕮	[動詞]	咳をする、咳き込む
㕮㕮	[間投詞]	（咳の音）
汪		
言汪汪	[動詞]	犬が吠える
#REDIRECT{"src":"嗚","dest":"噫"}		
