一	[連体詞]	1つの
一	[名詞]	1
一	[略号]	(音楽)基準音と同じ音、(移動ドで)ドの音
一下	[連体詞]	次の
一下日	[時間詞]	明日
一下月	[時間詞]	来月
一上	[連体詞]	直前の
一上日	[時間詞]	昨日
一上闇	[時間詞]	昨夜
一上月	[時間詞]	先月
一上星	[時間詞]	昨年
於一	[前置詞]	～1つあたり
於一	於一日心与下一口物於犬	1日につき1回、犬に食事を与えてください。
使多言一	[名詞]	単一の燐字をパイグ語 2 単語以上を用いて読むこと
二	[連体詞]	2つの
二	[名詞]	2
二	[略号]	(音楽)基準音の2半音上の音、(移動ドで)レの音
二下	[連体詞]	次の次の
二下日	[時間詞]	明後日
二上日	[時間詞]	おととい
二之衣	[名詞]	イークアターク、イーカターク
二之衣		ラネーメやヴェフィスの伝統的な衣服の一つ。袖がなく、二枚の布を繋いで作られる。素材は綿や麻が多い。
叫二字	[名詞]	パイグ語の発音現象の一つ。<span class="inline-linzklar">善日</span>【善日】などに見られる。
刀	[動詞]	切る
刀	[名詞]	刃物
刀弓	[名詞]	武器
刀水	[名詞]	ガウヌア、カウナ（アイル共和国クワケ郡の大都市）
刀足	[名詞]	ギューシュ、ガウシー（橅に似る木の一種）
刀傾	[名詞]	階段
刀字	[名詞]	碑文書体
刀字		手書き以前の書体で、現代では専ら装飾に用いられる。漢字でいうところの篆書体に似る。
刀之字	[名詞]	彫られた字
口刀	[名詞]	歯、牙
撃刀	[動詞]	たたき切る
遊刀	[名詞]	おもちゃ、玩具
機刀傾	[名詞]	エスカレーター
手刀弓之	[連体詞]	攻撃性のある
半		
哩	[名詞]	リパライン、リパラオネ（言語的・民族的区分）
哩言	[名詞]	リパライン語
哩名	[名詞]	リパライン名、リパライン語名、アロアイェーレーム
三	[連体詞]	3つの
三	[名詞]	3
三	[略号]	(音楽)基準音の4半音上の音、(移動ドで)ミの音
